DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,CHOLAFIN,30-APR-2026,1746.85
10-FEB-2026,FUTSTK,CIPLA,24-FEB-2026,1346.30
10-FEB-2026,FUTSTK,CIPLA,26-FEB-2026,1345.35
10-FEB-2026,FUTSTK,CIPLA,25-MAR-2026,1350.80
10-FEB-2026,FUTSTK,CIPLA,30-MAR-2026,1354.60
10-FEB-2026,FUTSTK,CIPLA,28-APR-2026,1362.50
10-FEB-2026,FUTSTK,CIPLA,30-APR-2026,1358.15
10-FEB-2026,FUTSTK,COALINDIA,24-FEB-2026,427.35
10-FEB-2026,FUTSTK,COALINDIA,26-FEB-2026,432.00
10-FEB-2026,FUTSTK,COALINDIA,25-MAR-2026,433.75
10-FEB-2026,FUTSTK,COALINDIA,30-MAR-2026,430.05
10-FEB-2026,FUTSTK,COALINDIA,28-APR-2026,432.70
10-FEB-2026,FUTSTK,COALINDIA,30-APR-2026,436.10
10-FEB-2026,FUTSTK,COFORGE,24-FEB-2026,1556.10
10-FEB-2026,FUTSTK,COFORGE,26-FEB-2026,1554.70
10-FEB-2026,FUTSTK,COFORGE,25-MAR-2026,1561.05
10-FEB-2026,FUTSTK,COFORGE,30-MAR-2026,1563.70
10-FEB-2026,FUTSTK,COFORGE,28-APR-2026,1572.00
10-FEB-2026,FUTSTK,COFORGE,30-APR-2026,1569.50
10-FEB-2026,FUTSTK,COLPAL,24-FEB-2026,2190.10
10-FEB-2026,FUTSTK,COLPAL,26-FEB-2026,2188.30
10-FEB-2026,FUTSTK,COLPAL,25-MAR-2026,2197.25
10-FEB-2026,FUTSTK,COLPAL,30-MAR-2026,2196.80
10-FEB-2026,FUTSTK,COLPAL,28-APR-2026,2210.30
10-FEB-2026,FUTSTK,COLPAL,30-APR-2026,2209.20
10-FEB-2026,FUTSTK,CONCOR,24-FEB-2026,515.55
10-FEB-2026,FUTSTK,CONCOR,26-FEB-2026,514.85
10-FEB-2026,FUTSTK,CONCOR,25-MAR-2026,516.95
10-FEB-2026,FUTSTK,CONCOR,30-MAR-2026,518.75
10-FEB-2026,FUTSTK,CONCOR,28-APR-2026,522.45
10-FEB-2026,FUTSTK,CONCOR,30-APR-2026,519.75
10-FEB-2026,FUTSTK,CROMPTON,24-FEB-2026,261.91
10-FEB-2026,FUTSTK,CROMPTON,26-FEB-2026,262.30
10-FEB-2026,FUTSTK,CROMPTON,25-MAR-2026,263.35
10-FEB-2026,FUTSTK,CROMPTON,30-MAR-2026,263.62
10-FEB-2026,FUTSTK,CROMPTON,28-APR-2026,265.21
10-FEB-2026,FUTSTK,CROMPTON,30-APR-2026,264.80
10-FEB-2026,FUTSTK,CUMMINSIND,24-FEB-2026,4409.70
10-FEB-2026,FUTSTK,CUMMINSIND,26-FEB-2026,4428.95
10-FEB-2026,FUTSTK,CUMMINSIND,25-MAR-2026,4447.00
10-FEB-2026,FUTSTK,CUMMINSIND,30-MAR-2026,4427.70
10-FEB-2026,FUTSTK,CUMMINSIND,28-APR-2026,4439.20
10-FEB-2026,FUTSTK,CUMMINSIND,30-APR-2026,4471.20
10-FEB-2026,FUTSTK,DABUR,24-FEB-2026,520.00
10-FEB-2026,FUTSTK,DABUR,26-FEB-2026,520.95
10-FEB-2026,FUTSTK,DABUR,25-MAR-2026,523.10
10-FEB-2026,FUTSTK,DABUR,30-MAR-2026,522.70
10-FEB-2026,FUTSTK,DABUR,28-APR-2026,525.40
10-FEB-2026,FUTSTK,DABUR,30-APR-2026,525.90
10-FEB-2026,FUTSTK,DALBHARAT,24-FEB-2026,2194.50
10-FEB-2026,FUTSTK,DALBHARAT,26-FEB-2026,2196.65
10-FEB-2026,FUTSTK,DALBHARAT,25-MAR-2026,2205.60
10-FEB-2026,FUTSTK,DALBHARAT,30-MAR-2026,2207.70
10-FEB-2026,FUTSTK,DALBHARAT,28-APR-2026,2216.90
10-FEB-2026,FUTSTK,DALBHARAT,30-APR-2026,2217.60
10-FEB-2026,FUTSTK,DELHIVERY,24-FEB-2026,436.75
10-FEB-2026,FUTSTK,DELHIVERY,26-FEB-2026,437.00
10-FEB-2026,FUTSTK,DELHIVERY,25-MAR-2026,438.80
10-FEB-2026,FUTSTK,DELHIVERY,30-MAR-2026,439.40
10-FEB-2026,FUTSTK,DELHIVERY,28-APR-2026,441.05
10-FEB-2026,FUTSTK,DELHIVERY,30-APR-2026,441.15
10-FEB-2026,FUTSTK,DIVISLAB,24-FEB-2026,6182.00
10-FEB-2026,FUTSTK,DIVISLAB,26-FEB-2026,6190.35
10-FEB-2026,FUTSTK,DIVISLAB,25-MAR-2026,6215.60
10-FEB-2026,FUTSTK,DIVISLAB,30-MAR-2026,6219.50
10-FEB-2026,FUTSTK,DIVISLAB,28-APR-2026,6249.00
10-FEB-2026,FUTSTK,DIVISLAB,30-APR-2026,6249.40
10-FEB-2026,FUTSTK,DIXON,24-FEB-2026,11621.00
10-FEB-2026,FUTSTK,DIXON,26-FEB-2026,11636.80
10-FEB-2026,FUTSTK,DIXON,25-MAR-2026,11684.25
10-FEB-2026,FUTSTK,DIXON,30-MAR-2026,11685.00
10-FEB-2026,FUTSTK,DIXON,28-APR-2026,11761.00
10-FEB-2026,FUTSTK,DIXON,30-APR-2026,11747.80
10-FEB-2026,FUTSTK,DLF,24-FEB-2026,674.15
10-FEB-2026,FUTSTK,DLF,26-FEB-2026,673.40
10-FEB-2026,FUTSTK,DLF,25-MAR-2026,676.15
10-FEB-2026,FUTSTK,DLF,30-MAR-2026,678.00
10-FEB-2026,FUTSTK,DLF,28-APR-2026,682.25
10-FEB-2026,FUTSTK,DLF,30-APR-2026,679.85
10-FEB-2026,FUTSTK,DMART,24-FEB-2026,3998.80
