All Companies,Screener,Symbol,Lot Size (Feb 2026),Lot Size (Mar 2026),Lot Size (Apr 2026)
"Nifty Bank","https://scanx.trade/stock-screener/index/nifty-bank","BANKNIFTY","30","30","30"
"Finnifty","https://scanx.trade/stock-screener/index/nifty-financial-services","FINNIFTY","60","60","60"
"Nifty Midcap Select","https://scanx.trade/stock-screener/index/nifty-midcap-select","MIDCPNIFTY","120","120","120"
"Nifty 50","https://scanx.trade/stock-screener/index/nifty-50","NIFTY","65","65","65"
"Nifty Next 50","https://scanx.trade/stock-screener/index/nifty-next-50","NIFTYNXT50","25","25","25"
"360 One WAM","https://scanx.trade/company/360-one-wam-ltd","360ONE","500","500","500"
"ABB","https://scanx.trade/company/abb-ltd","ABB","125","125","125"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","ABCAPITAL","3100","3100","3100"
"Adani Energy Solutions","https://scanx.trade/company/adani-transmission-ltd","ADANIENSOL","675","675","675"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","ADANIENT","309","309","309"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","ADANIGREEN","600","600","600"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","ADANIPORTS","475","475","475"
"Alkem Laboratories","https://scanx.trade/company/alkem-laboratories-ltd","ALKEM","125","125","125"
"Amber Enterprises","https://scanx.trade/company/amber-enterprises-india-ltd","AMBER","100","100","100"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","AMBUJACEM","1050","1050","1050"
"Angel One","https://scanx.trade/company/angel-broking-ltd","ANGELONE","250","250","250"
"APL Apollo Tubes","https://scanx.trade/company/apl-apollo-tubes-ltd","APLAPOLLO","350","350","350"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","APOLLOHOSP","125","125","125"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","ASHOKLEY","5000","5000","5000"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","ASIANPAINT","250","250","250"
"Astral","https://scanx.trade/company/astral-poly-technik-ltd","ASTRAL","425","425","425"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","AUBANK","1000","1000","1000"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","AUROPHARMA","550","550","550"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","AXISBANK","625","625","625"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","BAJAJ-AUTO","75","75","75"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","BAJAJFINSV","250","250","250"
